FazendaNome,Numero,Data,Metragem,DensidadeSeca,Umidade,PlacaVeiculo,MotoristaVeiculo,PesoBruto
MATA VERDE,20855,2025-01-02,118.8,244.865,5.31,8011,1713.0,49120.0
MATA VERDE,20879,2025-01-05,119.2,228.02,6.6,8011,1713.0,47260.0
MATA VERDE,20896,2025-01-07,116.3,223.99,3.61,7898,4535.0,47870.0
MATA VERDE,20921,2025-01-10,121.6,225.74,8.26,8011,1713.0,47530.0
MATA VERDE,20939,2025-01-12,115.88,225.923,9.72,7898,4535.0,47980.0
MATA VERDE,20953,2025-01-14,117.04,218.045,4.71,8011,1713.0,45620.0
MATA VERDE,20975,2025-01-16,124.2,202.013,4.14,8011,1713.0,44760.0
MATA VERDE,20999,2025-01-19,121.58,221.994,5.04,7898,4535.0,48630.0
MATA VERDE,21012,2025-01-20,110.95,210.816,5.7,7915,5865.0,45950.0
MATA VERDE,21025,2025-01-22,119.0,219.832,6.21,7898,6003.0,47550.0
MATA VERDE,21049,2025-01-24,117.67,229.2,5.74,8011,1713.0,47060.0
MATA VERDE,21089,2025-01-29,112.2,214.884,5.63,356,184.0,43180.0
MATA VERDE,21112,2025-01-31,113.15,211.051,13.29,7915,5865.0,46570.0
MATA VERDE,21126,2025-02-03,111.55,197.323,18.86,1866,2370.0,42900.0
MATA VERDE,21127,2025-02-03,114.89,218.905,7.59,7915,5865.0,47600.0
MATA VERDE,21157,2025-02-07,124.2,247.424,11.27,8011,1713.0,50940.0
MATA VERDE,21198,2025-02-12,112.05,233.11,6.12,7915,5865.0,48570.0
MATA VERDE,19757,2024-09-03,119.68,199.532,3.29,7898,4605.0,45170.0
MATA VERDE,19794,2024-09-06,119.6,208.11,4.45,7899,1713.0,44950.0
MATA VERDE,19816,2024-09-09,105.4,211.101,2.77,6752,199.0,42460.0
MATA VERDE,19845,2024-09-12,106.83,205.935,2.46,6752,199.0,42400.0
MATA VERDE,19855,2024-09-12,107.4,204.562,3.58,7646,2921.0,40820.0
MATA VERDE,19868,2024-09-14,106.1,215.74,2.82,6752,199.0,43230.0
MATA VERDE,19910,2024-09-18,109.3,206.404,4.25,6752,199.0,43050.0
MATA VERDE,19950,2024-09-22,111.3,224.259,4.12,7915,5865.0,47430.0
MATA VERDE,19956,2024-09-23,115.3,220.121,5.73,7898,4605.0,46750.0
MATA VERDE,19988,2024-09-25,118.75,204.463,4.07,7899,1713.0,44330.0
MATA VERDE,20006,2024-09-27,117.96,200.831,4.28,7899,1713.0,43760.0
MATA VERDE,20028,2024-09-29,121.49,204.379,3.25,7899,1713.0,44880.0
MATA VERDE,20057,2024-10-04,107.65,205.574,4.01,6752,199.0,42400.0
MATA VERDE,20070,2024-10-05,120.0,196.417,3.36,7915,5865.0,43930.0
MATA VERDE,20092,2024-10-07,107.0,195.701,3.73,6752,199.0,41330.0
MATA VERDE,20109,2024-10-09,115.0,202.783,5.09,7915,5865.0,43530.0
MATA VERDE,20145,2024-10-13,108.65,204.786,6.01,6752,199.0,42720.0
MATA VERDE,20152,2024-10-14,114.3,206.999,7.03,7898,4605.0,44880.0
MATA VERDE,20204,2024-10-19,115.55,210.299,5.15,7915,5865.0,44510.0
MATA VERDE,20223,2024-10-21,115.17,212.903,3.67,7915,5865.0,44750.0
MATA VERDE,20224,2024-10-21,110.7,203.433,6.6,356,184.0,41400.0
MATA VERDE,20275,2024-10-27,115.94,211.905,5.07,7915,5865.0,45600.0
MATA VERDE,20295,2024-10-29,117.14,272.068,11.59,7915,5865.0,52090.0
MATA VERDE,20316,2024-11-01,108.6,190.608,3.25,356,184.0,39650.0
MATA VERDE,20354,2024-11-05,115.3,232.697,6.09,7915,5865.0,47350.0
MATA VERDE,20387,2024-11-08,109.72,211.174,6.34,356,184.0,42370.0
MATA VERDE,20393,2024-11-09,120.0,220.25,5.88,8011,1713.0,46460.0
MATA VERDE,20414,2024-11-11,108.5,227.005,9.11,356,184.0,43710.0
MATA VERDE,20447,2024-11-14,114.0,196.754,3.5,7915,5865.0,42950.0
MATA VERDE,20460,2024-11-15,113.53,217.299,5.1,7898,4535.0,46730.0
MATA VERDE,20480,2024-11-18,112.55,217.237,5.31,7898,4535.0,46530.0
MATA VERDE,20504,2024-11-20,116.33,211.811,5.6,7915,5865.0,45220.0
MATA VERDE,20517,2024-11-22,106.79,212.379,5.08,356,184.0,41680.0
MATA VERDE,20568,2024-11-28,113.61,218.819,3.66,7915,4535.0,46350.0
MATA VERDE,20581,2024-11-29,120.0,210.167,4.94,8011,1713.0,45280.0
MATA VERDE,20605,2024-12-02,118.85,207.32,5.86,8011,1713.0,44620.0
MATA VERDE,20630,2024-12-04,120.0,214.583,6.31,8011,1713.0,45940.0
MATA VERDE,20638,2024-12-06,107.53,201.153,5.47,1866,184.0,40620.0
MATA VERDE,20682,2024-12-10,119.22,230.247,5.2,8011,1713.0,47450.0
MATA VERDE,20696,2024-12-12,108.57,219.674,3.08,7915,5865.0,44200.0
MATA VERDE,20740,2024-12-17,114.85,212.451,5.52,7898,4535.0,45880.0
MATA VERDE,20764,2024-12-19,117.75,217.24,5.94,7898,4535.0,46940.0
MATA VERDE,20806,2024-12-24,118.8,225.589,5.54,8011,1713.0,46820.0
MATA VERDE,20819,2024-12-26,111.67,220.561,4.85,7915,5865.0,47030.0
MATA VERDE,20850,2024-12-31,116.64,212.706,4.34,7898,4535.0,46520.0
MATA VERDE,21210,2025-02-14,113.35,212.704,8.14,356,184.0,43190.0
MATA VERDE,21241,2025-02-17,113.74,213.909,4.21,356,184.0,43540.0
MATA VERDE,21260,2025-02-18,117.0,235.299,6.18,7898,6025.0,48960.0
MATA VERDE,21261,2025-02-19,122.33,223.167,11.03,8011,1713.0,47410.0
MATA VERDE,21281,2025-02-22,113.16,236.479,6.22,7915,5865.0,49190.0
MATA VERDE,21286,2025-02-22,114.74,246.122,6.29,7898,6025.0,49840.0
MATA VERDE,21311,2025-02-25,120.48,231.076,5.65,8011,1713.0,47910.0
MATA VERDE,21353,2025-03-01,121.15,230.128,7.63,8011,1713.0,47670.0
MATA VERDE,21369,2025-03-03,114.1,194.566,8.34,356,184.0,41190.0
MATA VERDE,21402,2025-03-06,120.0,216.083,6.91,8011,1713.0,45840.0
MATA VERDE,21412,2025-03-07,112.65,204.794,7.64,356,184.0,42090.0
MATA VERDE,19848,2024-09-12,129.7,246.646,2.81,2350,1517.0,46460.0
MATA VERDE,21442,2025-03-10,115.5,208.398,4.56,7898,6025.0,45510.0
MATA VERDE,19909,2024-09-12,113.7,281.354,2.81,2350,1517.0,46460.0
MATA VERDE,21478,2025-03-14,121.55,209.708,5.87,8011,1713.0,45470.0
MATA VERDE,21479,2025-03-14,113.01,216.618,4.82,356,184.0,43360.0
MATA VERDE,21514,2025-03-18,113.74,196.94,5.66,356,184.0,41310.0
MATA VERDE,21523,2025-03-19,122.33,216.464,4.25,8011,1713.0,46440.0
MATA VERDE,21534,2025-03-20,118.54,225.325,11.77,7898,6025.0,48230.0
MATA VERDE,21565,2025-03-23,117.78,226.439,5.03,7898,6003.0,48280.0
MATA VERDE,21639,2025-03-31,121.16,201.387,6.06,8011,1713.0,44320.0
MATA VERDE,21662,2025-04-03,117.4,234.838,5.18,7898,6003.0,49100.0
MATA VERDE,21687,2025-04-06,116.4,191.667,9.46,356,184.0,41230.0
MATA VERDE,21704,2025-04-08,122.85,217.42,9.01,8011,1713.0,46610.0
MATA VERDE,21734,2025-04-12,110.1,200.091,3.82,356,184.0,41100.0
MATA VERDE,21752,2025-04-14,124.27,198.922,6.75,8011,1713.0,44630.0
MATA VERDE,21785,2025-04-17,117.4,209.37,7.66,7898,6025.0,46350.0
MATA VERDE,21839,2025-04-23,123.5,195.951,4.65,8011,1713.0,44170.0
MATA VERDE,21853,2025-04-25,113.5,214.185,4.71,7915,5865.0,46810.0
MATA VERDE,21875,2025-04-29,111.92,231.237,4.67,356,184.0,45060.0
MATA VERDE,21886,2025-04-30,114.0,221.93,6.01,7898,6025.0,47010.0
MATA VERDE,21922,2025-05-03,124.2,206.28,6.6,8011,1713.0,45460.0
MATA VERDE,21938,2025-05-05,120.86,225.054,7.14,8011,1713.0,47250.0
MATA VERDE,21967,2025-05-08,112.98,221.721,4.25,7898,6025.0,46730.0
MATA VERDE,22179,2025-06-02,124.08,215.946,13.21,7889,6123.0,48550.0
MATA VERDE,22183,2025-06-02,120.48,213.645,6.99,8011,1713.0,45640.0
MATA VERDE,22219,2025-06-05,112.65,191.656,7.53,356,184.0,40660.0
MATA VERDE,22233,2025-06-07,119.68,200.201,5.17,7898,6025.0,45380.0
MATA VERDE,22235,2025-06-07,113.0,201.239,4.16,356,184.0,41670.0
MATA VERDE,22255,2025-06-09,115.4,214.731,4.57,7915,5865.0,47340.0
MATA VERDE,22284,2025-06-12,117.28,201.825,6.48,8011,1713.0,43520.0
MATA VERDE,22320,2025-06-16,110.5,222.172,5.01,7915,5865.0,47020.0
MATA VERDE,22332,2025-06-17,118.54,195.799,6.32,7898,6155.0,44720.0
MATA VERDE,22365,2025-06-20,112.65,181.536,5.43,356,184.0,39510.0
MATA VERDE,22386,2025-06-22,112.04,208.14,4.91,7915,5865.0,45700.0
MATA VERDE,22441,2025-06-28,125.26,182.66,3.6,2350,1517.0,42750.0
MATA VERDE,22444,2025-06-29,109.35,197.897,7.36,356,184.0,40680.0
GLORIA,20859,2025-01-03,109.7,276.208,6.51,6752,199.0,50960.0
GLORIA,20861,2025-01-03,71.68,245.675,6.61,812,5149.0,28640.0
GLORIA,20865,2025-01-03,129.33,265.058,6.93,2350,1517.0,55040.0
GLORIA,20868,2025-01-04,132.66,245.741,7.18,8068,150.0,52850.0
GLORIA,20874,2025-01-04,108.15,238.927,7.85,7646,2921.0,44920.0
GLORIA,20869,2025-01-04,119.75,247.182,7.08,7725,149.0,51760.0
GLORIA,20877,2025-01-05,130.2,239.017,6.54,2350,1517.0,51160.0
GLORIA,20886,2025-01-06,133.5,232.659,11.04,8068,150.0,51440.0
GLORIA,20893,2025-01-06,108.92,233.566,8.27,6752,199.0,46100.0
GLORIA,20895,2025-01-06,71.9,223.922,6.3,812,5149.0,27190.0
GLORIA,20887,2025-01-06,119.5,238.745,7.18,7727,150.0,51290.0
GLORIA,20904,2025-01-07,133.35,233.371,5.24,2350,1517.0,51160.0
GLORIA,20912,2025-01-09,112.4,202.669,5.04,7646,2921.0,41690.0
GLORIA,20911,2025-01-09,117.53,236.11,5.29,7727,149.0,50230.0
GLORIA,20920,2025-01-10,133.3,221.755,6.27,2350,1517.0,49530.0
GLORIA,20925,2025-01-10,119.55,230.698,6.11,7727,149.0,49830.0
GLORIA,20934,2025-01-11,114.35,207.783,5.79,7646,2921.0,42460.0
GLORIA,20936,2025-01-12,130.5,236.245,6.09,2350,1517.0,50870.0
GLORIA,20949,2025-01-13,116.4,223.625,6.46,7725,149.0,48680.0
GLORIA,20954,2025-01-14,111.6,229.391,6.02,7646,2921.0,44650.0
GLORIA,20962,2025-01-15,69.21,245.196,4.53,812,5149.0,27990.0
GLORIA,20958,2025-01-15,131.0,229.313,5.77,2350,1517.0,50170.0
GLORIA,20964,2025-01-15,117.1,224.765,6.09,7727,149.0,49140.0
GLORIA,20981,2025-01-17,112.4,215.747,4.33,7646,2921.0,43170.0
GLORIA,20990,2025-01-18,132.24,228.902,3.63,2350,1517.0,50420.0
GLORIA,21003,2025-01-19,120.15,243.196,5.24,7727,149.0,51760.0
GLORIA,21011,2025-01-20,111.55,231.286,5.57,6752,199.0,46440.0
GLORIA,21019,2025-01-21,109.95,218.19,5.55,7646,2921.0,43180.0
GLORIA,21024,2025-01-22,133.25,230.769,5.15,2350,1517.0,50530.0
GLORIA,21031,2025-01-22,116.5,208.927,5.15,8077,150.0,47170.0
GLORIA,21048,2025-01-24,118.65,212.727,5.47,7727,150.0,47580.0
GLORIA,21059,2025-01-26,133.95,215.901,5.05,2350,1517.0,49150.0
GLORIA,21060,2025-01-26,113.65,205.455,3.64,7646,2921.0,42260.0
GLORIA,21067,2025-01-27,116.05,237.398,5.32,7727,150.0,50090.0
GLORIA,21087,2025-01-29,114.65,225.382,5.54,7646,2921.0,44800.0
GLORIA,21091,2025-01-30,134.0,250.672,6.27,2350,1517.0,53590.0
GLORIA,21104,2025-01-31,119.1,239.043,6.13,7727,150.0,50890.0
GLORIA,21113,2025-02-01,113.5,226.167,7.01,7646,2921.0,44710.0
GLORIA,21124,2025-02-02,131.0,235.725,4.68,2350,1517.0,51140.0
GLORIA,21129,2025-02-03,107.19,245.265,6.21,6752,199.0,46880.0
